date,horizon,portfolio_name,market,feature,feature_value,shap_value
2025-06-09,1,us_midcap_sector_zero_overlap,us,correlation_mean_20d,0.6096525801007366,0.006629013456404209
2025-06-09,1,us_midcap_sector_zero_overlap,us,correlation_max_20d,0.9741599353514822,-0.01283557154238224
2025-06-10,1,us_midcap_sector_zero_overlap,us,portfolio_return_1d,0.005756158907948676,-0.047541167587041855
2025-06-10,1,us_midcap_sector_zero_overlap,us,portfolio_return_5d,0.015986765584460386,-0.1945483386516571
2025-06-10,1,us_midcap_sector_zero_overlap,us,rolling_volatility_5d,0.0044752666249786395,-0.13319960236549377
2025-06-10,1,us_midcap_sector_zero_overlap,us,rolling_volatility_20d,0.009098638967661854,-0.09653207659721375
2025-06-10,1,us_midcap_sector_zero_overlap,us,rolling_volatility_60d,0.020464628010178763,-0.161089688539505
2025-06-10,1,us_midcap_sector_zero_overlap,us,rolling_mean_return_5d,0.003197353116892077,-0.034365054219961166
2025-06-10,1,us_midcap_sector_zero_overlap,us,rolling_mean_return_20d,0.0016153911374534604,-0.19107481837272644
2025-06-10,1,us_midcap_sector_zero_overlap,us,rolling_max_drawdown_20d,-0.03081624103579783,-0.02953820303082466
2025-06-10,1,us_midcap_sector_zero_overlap,us,rolling_max_drawdown_60d,-0.21400301859518134,-0.08518809080123901
2025-06-10,1,us_midcap_sector_zero_overlap,us,downside_volatility_20d,0.006620022318307579,-0.021103350445628166
2025-06-10,1,us_midcap_sector_zero_overlap,us,skewness_20d,-0.4538125919070214,0.022707229480147362
2025-06-10,1,us_midcap_sector_zero_overlap,us,kurtosis_20d,1.867188750940455,-0.04693440720438957
2025-06-10,1,us_midcap_sector_zero_overlap,us,correlation_mean_20d,0.6111188223526516,0.006727628409862518
2025-06-10,1,us_midcap_sector_zero_overlap,us,correlation_max_20d,0.9604016792934873,-0.020417314022779465
2025-06-11,1,us_midcap_sector_zero_overlap,us,portfolio_return_1d,-0.0025416869697025323,-0.08064860850572586
2025-06-11,1,us_midcap_sector_zero_overlap,us,portfolio_return_5d,0.015287556956770542,-0.1924220472574234
2025-06-11,1,us_midcap_sector_zero_overlap,us,rolling_volatility_5d,0.004678433148473894,-0.1265164613723755
2025-06-11,1,us_midcap_sector_zero_overlap,us,rolling_volatility_20d,0.008952309062219431,-0.10687093436717987
2025-06-11,1,us_midcap_sector_zero_overlap,us,rolling_volatility_60d,0.02042998773285365,-0.18709486722946167
2025-06-11,1,us_midcap_sector_zero_overlap,us,rolling_mean_return_5d,0.0030575113913541086,-0.03296058624982834
2025-06-11,1,us_midcap_sector_zero_overlap,us,rolling_mean_return_20d,0.0010190906770334877,-0.13973242044448853
2025-06-11,1,us_midcap_sector_zero_overlap,us,rolling_max_drawdown_20d,-0.03081624103579783,-0.025979474186897278
2025-06-11,1,us_midcap_sector_zero_overlap,us,rolling_max_drawdown_60d,-0.21400301859518134,-0.08045027405023575
2025-06-11,1,us_midcap_sector_zero_overlap,us,downside_volatility_20d,0.00633061636268053,-0.01809358224272728
2025-06-11,1,us_midcap_sector_zero_overlap,us,skewness_20d,-0.2981322672687752,0.021707359701395035
2025-06-11,1,us_midcap_sector_zero_overlap,us,kurtosis_20d,2.057130624917001,-0.05191207304596901
2025-06-11,1,us_midcap_sector_zero_overlap,us,correlation_mean_20d,0.621939107767858,0.010676849633455276
2025-06-11,1,us_midcap_sector_zero_overlap,us,correlation_max_20d,0.9608692211667724,-0.018041502684354782
2025-06-12,1,us_midcap_sector_zero_overlap,us,portfolio_return_1d,0.002072228322707408,-0.07081461697816849
2025-06-12,1,us_midcap_sector_zero_overlap,us,portfolio_return_5d,0.01854882455196827,-0.19154338538646698
2025-06-12,1,us_midcap_sector_zero_overlap,us,rolling_volatility_5d,0.0041340465593116,-0.11811219900846481
2025-06-12,1,us_midcap_sector_zero_overlap,us,rolling_volatility_20d,0.008913501327445571,-0.11195854097604752
2025-06-12,1,us_midcap_sector_zero_overlap,us,rolling_volatility_60d,0.020388131898110937,-0.17759501934051514
2025-06-12,1,us_midcap_sector_zero_overlap,us,rolling_mean_return_5d,0.0037097649103936545,-0.033085476607084274
2025-06-12,1,us_midcap_sector_zero_overlap,us,rolling_mean_return_20d,0.0012533052018146012,-0.1570587009191513
2025-06-12,1,us_midcap_sector_zero_overlap,us,rolling_max_drawdown_20d,-0.03081624103579783,-0.02605205774307251
2025-06-12,1,us_midcap_sector_zero_overlap,us,rolling_max_drawdown_60d,-0.21400301859518134,-0.05275316163897514
2025-06-12,1,us_midcap_sector_zero_overlap,us,downside_volatility_20d,0.006623096370835297,-0.018904007971286774
2025-06-12,1,us_midcap_sector_zero_overlap,us,skewness_20d,-0.3856023773892839,0.023209217935800552
2025-06-12,1,us_midcap_sector_zero_overlap,us,kurtosis_20d,2.1976337252167544,-0.050697848200798035
2025-06-12,1,us_midcap_sector_zero_overlap,us,correlation_mean_20d,0.6202608024770235,0.0098978066816926
2025-06-12,1,us_midcap_sector_zero_overlap,us,correlation_max_20d,0.9644266216888843,-0.020758289843797684
